net,length_um
net285,1016.08
_02530_,874.64
_02511_,862.74
net341,799.42
net382,727.24
_02578_,723.5
clknet_0_s_axi_aclk,722.84
_04528_,717.18
_05367_,714.43
net379,703.48
net286,703.34
_04532_,701.615
_02459_,695.84
net115,695.34
net93,692.04
_02712_,691.53
_02295_,679.76
_02488_,679.235
_02740_,678.215
_02425_,674.75
net318,673.12
_04560_,667.47
_04489_,662.44
net15,662.04
_05364_,657.42
net370,649.04
_02552_,644.74
_02987_,635.8
net75,633.38
_04513_,631.36
net312,629.14
_02382_,628.14
net101,616.48
_05393_,610.4
_04502_,605
_03016_,604.625
net405,597.98
_03012_,595.84
net41,594.25
_05395_,592.92
_04556_,589.77
net365,589
_04509_,588.44
_02500_,587.34
net275,586.78
net362,586.34
net123,586.02
net319,585.96
net495,585.95
_04541_,585.85
_04545_,584.33
net89,582.06
_03348_,580.77
net457,577.89
net107,567.575
_04352_,566.88
_03350_,565.35
_02589_,565.22
_05368_,565
_02436_,564.54
_05379_,559.23
_04549_,557.44
_05381_,554.46
net302,554.44
_04444_,552.62
_02821_,548.34
_02460_,546.31
net399,543.78
_03135_,542.91
_05369_,539.46
net153,538.97
net288,538.46
_02849_,538.39
_03574_,537.405
_03211_,536.56
net396,536.29
net142,535.41
net262,534.97
net310,534.38
_04499_,533.18
net68,532.46
net389,529.58
net104,526.84
net119,525.54
_02461_,525.145
net349,523.765
_03213_,523.06
net11,523.04
net274,522.78
net321,517.26
_02541_,513.5
_02600_,512.71
net366,510.77
_03619_,509.12
_03133_,507.96
net374,506.8
net333,505.42
net90,503.06
net97,501.9
net60,499.9
_02464_,499.875
net83,497.95
net53,493.4
net117,493.135
net273,492.71
_02976_,490.04
net88,489.54
_03132_,488.17
net325,487.77
net19,486.19
net268,485.62
net63,481.84
clknet_4_7__leaf_s_axi_aclk,477.59
net359,476.05
net317,475.52
_03458_,475.23
net339,475.1
net272,473.74
net412,473.02
net411,472.06
s_axi_aclk,470.04
net140,468.63
net1,467.105
_04496_,466.99
net424,466.99
net82,466.02
_03081_,465.07
net81,464.14
net327,462.88
net72,459.97
_04493_,454.33
net543,453.86
net316,452.78
_03709_,451.78
clknet_4_13__leaf_s_axi_aclk,447.71
net380,447.52
net131,447.2
net127,446.94
